state,year,total_crimes,murder,rape,kidnapping,robbery,theft,riots,arson,source
Punjab,2013,73334,1422,1776,2548,282,9770,0,130,2001-2013
Punjab,2020,56,3,2,3,2,11,2,2,2020-2024
Punjab,2021,62,5,5,3,2,10,2,2,2020-2024
Punjab,2022,54,3,3,0,2,7,3,3,2020-2024
Punjab,2023,69,7,3,3,4,13,3,3,2020-2024
Punjab,2024,38,1,5,2,1,8,1,4,2020-2024
Rajasthan,2001,310370,2518,2098,5436,1778,33878,22428,2184,2001-2013
Rajasthan,2002,302496,2552,2102,5174,1468,32626,14356,2260,2001-2013
Rajasthan,2003,291158,2524,2100,4476,1310,32912,8104,1568,2001-2013
Rajasthan,2004,309718,2558,2076,4768,1346,37684,6202,1670,2001-2013
Rajasthan,2005,281834,2442,1986,3986,1180,35796,4580,1296,2001-2013
Rajasthan,2006,283984,2418,2170,3940,1262,35778,3534,1102,2001-2013
Rajasthan,2007,297740,2606,2476,4354,1556,38690,3252,1350,2001-2013
Rajasthan,2008,302348,2594,2710,4716,1658,40822,2780,1230,2001-2013
Rajasthan,2009,333130,2790,3038,5740,1772,44288,2290,1112,2001-2013
Rajasthan,2010,325914,2842,3142,5970,1744,44648,1972,956,2001-2013
Rajasthan,2011,331244,2922,3600,6408,1454,42198,1502,946,2001-2013
Rajasthan,2012,341896,2922,4098,6486,1614,46628,1146,950,2001-2013
Rajasthan,2013,392448,3146,6570,9972,2130,57856,1084,968,2001-2013
Rajasthan,2020,120,9,6,9,4,12,6,4,2020-2024
Rajasthan,2021,143,7,8,5,6,15,8,7,2020-2024
Rajasthan,2022,104,2,5,3,6,14,5,8,2020-2024
Rajasthan,2023,107,6,2,4,1,15,6,3,2020-2024
Rajasthan,2024,73,2,2,3,4,14,3,2,2020-2024
Sikkim,2001,888,38,16,12,6,148,6,2,2001-2013
Sikkim,2002,970,26,12,18,10,128,30,4,2001-2013
Sikkim,2003,886,28,20,0,6,130,20,4,2001-2013
Sikkim,2004,1262,32,6,10,10,146,152,14,2001-2013
Sikkim,2005,1104,16,36,6,8,162,38,6,2001-2013
Sikkim,2006,1406,42,40,16,18,226,24,2,2001-2013
Sikkim,2007,1334,18,48,18,12,236,30,2,2001-2013
Sikkim,2008,1460,18,40,8,14,254,34,46,2001-2013
Sikkim,2009,1338,38,36,12,8,124,78,18,2001-2013
Sikkim,2010,1104,34,36,12,14,106,8,14,2001-2013
Sikkim,2011,1192,28,32,20,10,144,50,8,2001-2013
Sikkim,2012,1056,14,68,20,12,234,44,40,2001-2013
Sikkim,2013,1702,30,86,32,12,244,64,38,2001-2013
Tamil Nadu,2001,309602,3324,846,1904,1344,33418,10392,1960,2001-2013
Tamil Nadu,2002,333884,3446,1068,2002,1306,37510,8504,1700,2001-2013
Tamil Nadu,2003,314372,3182,1114,1758,1028,36426,7412,1582,2001-2013
Tamil Nadu,2004,333212,2958,1236,1740,928,35060,6866,1324,2001-2013
Tamil Nadu,2005,324720,2880,1142,2058,874,31702,5102,990,2001-2013
Tamil Nadu,2006,297944,2726,914,1812,900,27302,3676,920,2001-2013
Tamil Nadu,2007,345508,3266,1046,2540,990,26434,4750,1306,2001-2013
Tamil Nadu,2008,353666,3518,1146,2750,1324,30038,5622,1220,2001-2013
Tamil Nadu,2009,349382,3552,1192,2744,2288,31424,4794,1160,2001-2013
Tamil Nadu,2010,371356,3750,1372,3440,3634,29166,5328,1272,2001-2013
Tamil Nadu,2011,385758,3754,1354,3968,4132,27848,6018,1412,2001-2013
Tamil Nadu,2012,400948,3898,1474,3890,3796,23992,6272,1452,2001-2013
Tamil Nadu,2013,407158,3872,1846,3558,4372,23900,5402,1290,2001-2013
Tamil Nadu,2020,211,14,8,7,5,33,14,18,2020-2024
Tamil Nadu,2021,231,13,14,14,11,33,10,16,2020-2024
Tamil Nadu,2022,231,14,6,9,16,35,13,12,2020-2024
Tamil Nadu,2023,208,10,11,13,8,33,8,10,2020-2024
Tamil Nadu,2024,103,6,7,3,4,14,4,5,2020-2024
Telangana,2020,283,12,17,9,12,55,8,17,2020-2024
Telangana,2021,246,11,17,10,13,41,10,9,2020-2024
Telangana,2022,256,14,11,13,13,32,8,21,2020-2024
Telangana,2023,259,12,12,12,14,33,10,16,2020-2024
Telangana,2024,117,3,6,6,6,11,7,1,2020-2024
Tripura,2001,5602,480,204,186,126,518,276,62,2001-2013
Tripura,2002,6150,402,216,256,112,540,360,80,2001-2013
Tripura,2003,7028,508,228,292,138,552,548,166,2001-2013
Tripura,2004,6162,378,320,198,92,520,296,48,2001-2013
Tripura,2005,6712,242,324,170,122,650,296,70,2001-2013
Tripura,2006,7880,308,378,210,142,784,308,70,2001-2013
Tripura,2007,8546,276,314,226,128,822,284,46,2001-2013
Tripura,2008,10672,310,408,292,190,998,394,94,2001-2013
Tripura,2009,10972,266,380,242,154,830,356,124,2001-2013
Tripura,2010,11610,300,476,228,130,914,326,102,2001-2013
Tripura,2011,11606,326,410,308,100,988,350,116,2001-2013
Tripura,2012,12528,248,458,278,120,1130,256,118,2001-2013
Tripura,2013,12420,284,466,288,88,1066,246,166,2001-2013
Uttar Pradesh,2001,356258,15202,3916,8660,7650,54022,14686,1624,2001-2013
Uttar Pradesh,2002,292074,13650,2830,6860,5680,44838,9756,1286,2001-2013
Uttar Pradesh,2003,190146,10568,1822,4416,3976,31502,4502,594,2001-2013
Uttar Pradesh,2004,260362,12252,2794,6674,5212,45048,7830,762,2001-2013
Uttar Pradesh,2005,244216,11422,2434,5910,4098,41390,7852,796,2001-2013
Uttar Pradesh,2006,254002,10960,2628,6636,4048,40894,7548,598,2001-2013
Uttar Pradesh,2007,300516,10000,3296,8956,4338,45632,8990,536,2001-2013
Uttar Pradesh,2008,337992,9128,3742,10856,4194,51892,8762,456,2001-2013
Uttar Pradesh,2009,345768,9068,3518,12166,4570,58452,8526,508,2001-2013
Uttar Pradesh,2010,348358,8802,3126,12642,5154,62306,8372,340,2001-2013
Uttar Pradesh,2011,390270,9902,4084,17000,6296,73366,10044,954,2001-2013
Uttar Pradesh,2012,396186,9932,3926,17756,6318,74752,11352,654,2001-2013
Uttar Pradesh,2013,452890,10094,6100,22366,7182,83898,12178,582,2001-2013
Uttar Pradesh,2020,430,19,12,34,25,57,23,18,2020-2024
Uttar Pradesh,2021,410,18,16,22,21,57,25,20,2020-2024
Uttar Pradesh,2022,389,23,17,20,25,56,15,17,2020-2024
Uttar Pradesh,2023,407,19,18,22,11,54,17,22,2020-2024
Uttar Pradesh,2024,224,10,7,9,13,27,6,19,2020-2024
Uttarakhand,2001,16146,632,148,366,382,2838,880,60,2001-2013
Uttarakhand,2002,15952,584,178,396,354,2730,684,80,2001-2013
Uttarakhand,2003,15846,536,214,342,320,2736,784,66,2001-2013
Uttarakhand,2004,17268,524,230,426,330,3194,888,56,2001-2013
Uttarakhand,2005,16066,558,266,406,318,3260,866,48,2001-2013
Uttarakhand,2006,16824,548,294,424,314,3392,978,78,2001-2013
Uttarakhand,2007,19198,536,234,506,346,3186,918,74,2001-2013
Uttarakhand,2008,17712,446,174,494,288,3244,1018,30,2001-2013
Uttarakhand,2009,17604,390,222,550,358,3202,932,34,2001-2013
Uttarakhand,2010,18480,352,242,572,324,4276,916,34,2001-2013
Uttarakhand,2011,17548,356,258,628,358,4186,802,34,2001-2013
Uttarakhand,2012,17764,434,296,594,288,3826,738,34,2001-2013
Uttarakhand,2013,19092,394,456,2064,276,3192,668,34,2001-2013
West Bengal,2001,123126,3188,1418,1750,1320,28490,6190,204,2001-2013
West Bengal,2002,117924,2888,1518,1662,1088,24898,4922,228,2001-2013
West Bengal,2003,122348,2850,2004,1804,1196,25226,5192,174,2001-2013
West Bengal,2004,138700,2850,2950,2400,1070,28930,5382,206,2001-2013
West Bengal,2005,132812,2906,3372,2414,852,24248,5270,184,2001-2013
West Bengal,2006,136104,2850,3462,2710,852,25064,4770,222,2001-2013
West Bengal,2007,162204,3304,4212,3600,854,27494,7454,242,2001-2013
West Bengal,2008,210838,3622,4526,4664,1226,34668,10850,300,2001-2013
West Bengal,2009,226072,4136,4672,5500,1502,34266,13400,688,2001-2013
West Bengal,2010,259232,4796,4622,6690,1596,38778,13618,662,2001-2013
West Bengal,2011,286394,4218,4726,8570,1520,42892,12038,826,2001-2013
West Bengal,2012,322854,4504,4092,10234,1632,45982,13222,792,2001-2013
West Bengal,2013,339070,4528,3370,9146,1294,45808,12284,990,2001-2013
West Bengal,2020,239,15,15,7,8,29,17,11,2020-2024
West Bengal,2021,201,6,9,11,14,23,6,8,2020-2024
West Bengal,2022,221,10,13,9,6,28,10,12,2020-2024
West Bengal,2023,222,5,9,13,11,34,9,10,2020-2024
West Bengal,2024,137,7,7,9,8,19,8,3,2020-2024
